Browse Link,Display ID,Ordering ID,Landsat Product Identifier L2,Landsat Product Identifier L1,Landsat Scene Identifier,Date Acquired,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date Product Generated L2,Date Product Generated L1,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover L1,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Processing Software Version,Sun Elevation L0RA,Sun Azimuth L0RA,TIRS SSM Model,Data Type L2,Sensor Identifier,Satellite,Product Map Projection L1,UTM Zone,Datum,Ellipsoid,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude
NA,LC08_L2SP_224078_20200907_20200918_02_T2,LC82240782020251LGN00,LC08_L2SP_224078_20200907_20200918_02_T2,LC08_L1GT_224078_20200907_20200918_02_T2,LC82240782020251LGN00,2020/09/07,T2,2,224,78,224,78,NADIR,0.0,2020/09/18,2020/09/18,2020-09-07 13:35:59.628919,2020-09-07 13:36:31.398918,LGN,DAY,28.78,28.78,-1,5,0.0,0.0,0.0,LPGS_15.3.1,46.71581606,47.10986538,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21.0,WGS84,WGS84,-25.99261,-54.931569999999994,-24.9445,-56.104580000000006,-24.912770000000002,-53.797509999999996,-27.070759999999996,-56.0883,-27.035909999999998,-53.73941
NA,LC08_L2SP_224078_20200923_20201006_02_T1,LC82240782020267LGN00,LC08_L2SP_224078_20200923_20201006_02_T1,LC08_L1TP_224078_20200923_20201006_02_T1,LC82240782020267LGN00,2020/09/23,T1,2,224,78,224,78,NADIR,0.0,2020/10/06,2020/10/06,2020-09-23 13:36:04.763405,2020-09-23 13:36:36.533404,LGN,DAY,0.0,0.0,519,5,7.311,4.895,5.43,LPGS_15.3.1,52.17751596,51.99525337,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21.0,WGS84,WGS84,-25.99258,-54.93635,-24.94452,-56.10755,-24.91283,-53.80047,-27.07078,-56.091330000000006,-27.03598,-53.742430000000006
NA,LC08_L2SP_224078_20200705_20200913_02_T1,LC82240782020187LGN00,LC08_L2SP_224078_20200705_20200913_02_T1,LC08_L1TP_224078_20200705_20200913_02_T1,LC82240782020187LGN00,2020/07/05,T1,2,224,78,224,78,NADIR,0.0,2020/09/13,2020/09/13,2020-07-05 13:35:36.298941,2020-07-05 13:36:08.06894,LGN,DAY,84.17,84.17,53,5,7.255,4.543,5.657,LPGS_15.3.1,32.20154009,35.45950778,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21.0,WGS84,WGS84,-25.99244,-54.93871,-24.94453,-56.110519999999994,-24.9129,-53.80344,-27.0708,-56.09435,-27.03605,-53.74545
https://landsatlook.usgs.gov/gen-browse?size=rrb&type=refl&product_id=LC08_L1TP_224078_20200603_20200824_02_T1,LC08_L2SP_224078_20200603_20200824_02_T1,LC82240782020155LGN00,LC08_L2SP_224078_20200603_20200824_02_T1,LC08_L1TP_224078_20200603_20200824_02_T1,LC82240782020155LGN00,2020/06/03,T1,2,224,78,224,78,NADIR,0.0,2020/08/24,2020/08/24,2020-06-03 13:35:19.206186,2020-06-03 13:35:50.976186,LGN,DAY,0.71,0.71,574,5,6.851,4.7780000000000005,4.91,LPGS_15.3.1c,33.23982356,34.24306303,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21.0,WGS84,WGS84,-25.99255,-54.93113,-24.9445,-56.104580000000006,-24.91271,-53.794540000000005,-27.070759999999996,-56.0883,-27.035840000000004,-53.73639
NA,LC08_L2SP_224078_20201025_20201106_02_T1,LC82240782020299LGN00,LC08_L2SP_224078_20201025_20201106_02_T1,LC08_L1TP_224078_20201025_20201106_02_T1,LC82240782020299LGN00,2020/10/25,T1,2,224,78,224,78,NADIR,0.0,2020/11/06,2020/11/06,2020-10-25 13:36:07.445102,2020-10-25 13:36:39.215101,LGN,DAY,0.05,0.05,517,5,8.02,5.237,6.075,LPGS_15.3.1,61.32271076,66.75598826,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21.0,WGS84,WGS84,-25.99289,-54.9274,-24.94446,-56.09863000000001,-24.91264,-53.79156999999999,-27.07072,-56.08225,-27.03577,-53.733369999999994
https://landsatlook.usgs.gov/gen-browse?size=rrb&type=refl&product_id=LC08_L1TP_224078_20201212_20210314_02_T1,LC08_L2SP_224078_20201212_20210314_02_T1,LC82240782020347LGN00,LC08_L2SP_224078_20201212_20210314_02_T1,LC08_L1TP_224078_20201212_20210314_02_T1,LC82240782020347LGN00,2020/12/12,T1,2,224,78,224,78,NADIR,0.0,2021/03/14,2021/03/14,2020-12-12 13:36:08.645191,2020-12-12 13:36:40.41519,LGN,DAY,0.17,0.17,462,5,7.5920000000000005,4.935,5.769,LPGS_15.4.0,63.24158374,90.21272087,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21.0,WGS84,WGS84,-25.99259,-54.93026999999999,-24.94448,-56.1016,-24.91271,-53.794540000000005,-27.07074,-56.085280000000004,-27.035840000000004,-53.73639
https://landsatlook.usgs.gov/gen-browse?size=rrb&type=refl&product_id=LC08_L1TP_224078_20200502_20200820_02_T1,LC08_L2SP_224078_20200502_20200820_02_T1,LC82240782020123LGN00,LC08_L2SP_224078_20200502_20200820_02_T1,LC08_L1TP_224078_20200502_20200820_02_T1,LC82240782020123LGN00,2020/05/02,T1,2,224,78,224,78,NADIR,0.0,2020/08/20,2020/08/20,2020-05-02 13:35:14.624823,2020-05-02 13:35:46.394822,LGN,DAY,2.59,2.59,526,5,6.638999999999999,4.665,4.724,LPGS_15.3.1c,39.01046417,38.69158004,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21.0,WGS84,WGS84,-25.99277,-54.92921,-24.94448,-56.1016,-24.91271,-53.794540000000005,-27.07074,-56.085280000000004,-27.035840000000004,-53.73639
https://landsatlook.usgs.gov/gen-browse?size=rrb&type=refl&product_id=LC08_L1TP_224078_20200127_20200823_02_T1,LC08_L2SP_224078_20200127_20200823_02_T1,LC82240782020027LGN00,LC08_L2SP_224078_20200127_20200823_02_T1,LC08_L1TP_224078_20200127_20200823_02_T1,LC82240782020027LGN00,2020/01/27,T1,2,224,78,224,78,NADIR,0.0,2020/08/23,2020/08/23,2020-01-27 13:35:54.505389,2020-01-27 13:36:26.275388,LGN,DAY,7.24,7.24,403,5,8.302,5.216,6.457999999999999,LPGS_15.3.1c,57.73214399,83.6329676,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21.0,WGS84,WGS84,-25.99267,-54.90116999999999,-24.94432,-56.07486,-24.912129999999998,-53.76784,-27.070559999999997,-56.05805,-27.03521,-53.709219999999995
https://landsatlook.usgs.gov/gen-browse?size=rrb&type=refl&product_id=LC08_L1TP_224078_20200416_20200822_02_T1,LC08_L2SP_224078_20200416_20200822_02_T1,LC82240782020107LGN00,LC08_L2SP_224078_20200416_20200822_02_T1,LC08_L1TP_224078_20200416_20200822_02_T1,LC82240782020107LGN00,2020/04/16,T1,2,224,78,224,78,NADIR,0.0,2020/08/22,2020/08/22,2020-04-16 13:35:22.961507,2020-04-16 13:35:54.731506,LGN,DAY,0.0,0.0,532,5,6.892,4.708,5.034,LPGS_15.3.1c,42.77663183,43.52856046,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21.0,WGS84,WGS84,-25.99279,-54.91978,-24.94443,-56.092690000000005,-24.91251,-53.78564,-27.07068,-56.0762,-27.035629999999998,-53.72733
https://landsatlook.usgs.gov/gen-browse?size=rrb&type=refl&product_id=LC08_L1TP_224078_20200315_20200822_02_T1,LC08_L2SP_224078_20200315_20200822_02_T1,LC82240782020075LGN00,LC08_L2SP_224078_20200315_20200822_02_T1,LC08_L1TP_224078_20200315_20200822_02_T1,LC82240782020075LGN00,2020/03/15,T1,2,224,78,224,78,NADIR,0.0,2020/08/22,2020/08/22,2020-03-15 13:35:38.897107,2020-03-15 13:36:10.667106,LGN,DAY,68.15,68.15,314,5,7.874,4.985,6.095,LPGS_15.3.1c,50.01978102,58.2221428,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21.0,WGS84,WGS84,-25.99266,-54.91109,-24.944370000000003,-56.083780000000004,-24.91232,-53.776740000000004,-27.07062,-56.067119999999996,-27.035420000000002,-53.71828000000001
NA,LC08_L2SP_224078_20200721_20200911_02_T1,LC82240782020203LGN00,LC08_L2SP_224078_20200721_20200911_02_T1,LC08_L1TP_224078_20200721_20200911_02_T1,LC82240782020203LGN00,2020/07/21,T1,2,224,78,224,78,NADIR,0.0,2020/09/11,2020/09/11,2020-07-21 13:35:41.871977,2020-07-21 13:36:13.641976,LGN,DAY,20.49,20.49,516,5,6.772,4.992,4.5760000000000005,LPGS_15.3.1,33.94480117,37.47275705,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21.0,WGS84,WGS84,-25.992520000000003,-54.93218,-24.9445,-56.104580000000006,-24.912770000000002,-53.797509999999996,-27.070759999999996,-56.0883,-27.035909999999998,-53.73941
https://landsatlook.usgs.gov/gen-browse?size=rrb&type=refl&product_id=LC08_L1TP_224078_20200518_20200820_02_T1,LC08_L2SP_224078_20200518_20200820_02_T1,LC82240782020139LGN00,LC08_L2SP_224078_20200518_20200820_02_T1,LC08_L1TP_224078_20200518_20200820_02_T1,LC82240782020139LGN00,2020/05/18,T1,2,224,78,224,78,NADIR,0.0,2020/08/20,2020/08/20,2020-05-18 13:35:13.458835,2020-05-18 13:35:45.228834,LGN,DAY,0.01,0.01,558,5,6.572,4.48,4.809,LPGS_15.3.1c,35.69168021,35.64442336,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21.0,WGS84,WGS84,-25.9928,-54.94096999999999,-24.94455,-56.113490000000006,-24.91296,-53.8064,-27.07082,-56.09738,-27.03612,-53.74847
NA,LC08_L2SP_224078_20200806_20200916_02_T1,LC82240782020219LGN00,LC08_L2SP_224078_20200806_20200916_02_T1,LC08_L1TP_224078_20200806_20200916_02_T1,LC82240782020219LGN00,2020/08/06,T1,2,224,78,224,78,NADIR,0.0,2020/09/16,2020/09/16,2020-08-06 13:35:45.474815,2020-08-06 13:36:17.244815,LGN,DAY,0.0,0.0,513,5,6.6129999999999995,4.662,4.69,LPGS_15.3.1,37.13908503,40.09824821,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21.0,WGS84,WGS84,-25.99268,-54.9189,-24.94443,-56.092690000000005,-24.91245,-53.782669999999996,-27.07068,-56.0762,-27.035559999999997,-53.72432
https://landsatlook.usgs.gov/gen-browse?size=rrb&type=refl&product_id=LC08_L1TP_224078_20201228_20210310_02_T1,LC08_L2SP_224078_20201228_20210310_02_T1,LC82240782020363LGN00,LC08_L2SP_224078_20201228_20210310_02_T1,LC08_L1TP_224078_20201228_20210310_02_T1,LC82240782020363LGN00,2020/12/28,T1,2,224,78,224,78,NADIR,0.0,2021/03/10,2021/03/10,2020-12-28 13:36:05.575085,2020-12-28 13:36:37.345084,LGN,DAY,31.9,31.9,213,5,8.621,5.435,6.692,LPGS_15.4.0,61.49336968,91.25668762,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21.0,WGS84,WGS84,-25.9925,-54.92341,-24.94444,-56.095659999999995,-24.91258,-53.78861,-27.0707,-56.07921999999999,-27.0357,-53.73035
https://landsatlook.usgs.gov/gen-browse?size=rrb&type=refl&product_id=LC08_L1TP_224078_20200111_20200823_02_T1,LC08_L2SP_224078_20200111_20200823_02_T1,LC82240782020011LGN00,LC08_L2SP_224078_20200111_20200823_02_T1,LC08_L1TP_224078_20200111_20200823_02_T1,LC82240782020011LGN00,2020/01/11,T1,2,224,78,224,78,NADIR,0.0,2020/08/23,2020/08/23,2020-01-11 13:35:58.915067,2020-01-11 13:36:30.685066,LGN,DAY,70.18,70.18,41,5,8.755,5.905,6.4639999999999995,LPGS_15.3.1c,59.82635191,89.10954201,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21.0,WGS84,WGS84,-25.99279,-54.90384,-24.944329999999997,-56.077830000000006,-24.912129999999998,-53.76784,-27.073290000000004,-56.06105,-27.037909999999997,-53.709140000000005
NA,LC08_L2SP_224078_20201009_20201016_02_T1,LC82240782020283LGN00,LC08_L2SP_224078_20201009_20201016_02_T1,LC08_L1TP_224078_20201009_20201016_02_T1,LC82240782020283LGN00,2020/10/09,T1,2,224,78,224,78,NADIR,0.0,2020/10/16,2020/10/16,2020-10-09 13:36:07.437743,2020-10-09 13:36:39.207742,LGN,DAY,62.01,62.01,55,5,8.577,5.814,6.306,LPGS_15.3.1,57.28386782,58.42807736,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21.0,WGS84,WGS84,-25.99271,-54.934940000000005,-24.94452,-56.10755,-24.91283,-53.80047,-27.07078,-56.091330000000006,-27.03598,-53.742430000000006
https://landsatlook.usgs.gov/gen-browse?size=rrb&type=refl&product_id=LC08_L1TP_224078_20200331_20200822_02_T1,LC08_L2SP_224078_20200331_20200822_02_T1,LC82240782020091LGN00,LC08_L2SP_224078_20200331_20200822_02_T1,LC08_L1TP_224078_20200331_20200822_02_T1,LC82240782020091LGN00,2020/03/31,T1,2,224,78,224,78,NADIR,0.0,2020/08/22,2020/08/22,2020-03-31 13:35:29.588679,2020-03-31 13:36:01.358678,LGN,DAY,14.29,14.29,469,5,7.49,5.0169999999999995,5.561,LPGS_15.3.1c,46.55119357,50.14637279,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21.0,WGS84,WGS84,-25.99266,-54.907669999999996,-24.94435,-56.08081,-24.91226,-53.77378,-27.0706,-56.0641,-27.03535,-53.71526
https://landsatlook.usgs.gov/gen-browse?size=rrb&type=refl&product_id=LC08_L1TP_224078_20200619_20200823_02_T1,LC08_L2SP_224078_20200619_20200823_02_T1,LC82240782020171LGN00,LC08_L2SP_224078_20200619_20200823_02_T1,LC08_L1TP_224078_20200619_20200823_02_T1,LC82240782020171LGN00,2020/06/19,T1,2,224,78,224,78,NADIR,0.0,2020/08/23,2020/08/23,2020-06-19 13:35:28.772879,2020-06-19 13:36:00.542878,LGN,DAY,87.51,87.51,74,5,7.021,4.328,5.529,LPGS_15.3.1c,31.99563476,34.28239823,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21.0,WGS84,WGS84,-25.99266,-54.93875,-24.94453,-56.110519999999994,-24.9129,-53.80344,-27.0708,-56.09435,-27.03605,-53.74545
https://landsatlook.usgs.gov/gen-browse?size=rrb&type=refl&product_id=LC08_L1TP_224078_20200212_20200823_02_T1,LC08_L2SP_224078_20200212_20200823_02_T1,LC82240782020043LGN00,LC08_L2SP_224078_20200212_20200823_02_T1,LC08_L1TP_224078_20200212_20200823_02_T1,LC82240782020043LGN00,2020/02/12,T1,2,224,78,224,78,NADIR,0.0,2020/08/23,2020/08/23,2020-02-12 13:35:50.091733,2020-02-12 13:36:21.861732,LGN,DAY,24.29,24.29,318,5,8.156,5.172000000000001,6.307,LPGS_15.3.1c,55.51835794,75.95109419,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21.0,WGS84,WGS84,-25.99247,-54.903,-24.94432,-56.07486,-24.912129999999998,-53.76784,-27.070559999999997,-56.05805,-27.03521,-53.709219999999995
https://landsatlook.usgs.gov/gen-browse?size=rrb&type=refl&product_id=LC08_L1GT_224078_20201126_20210316_02_T2,LC08_L2SP_224078_20201126_20210316_02_T2,LC82240782020331LGN00,LC08_L2SP_224078_20201126_20210316_02_T2,LC08_L1GT_224078_20201126_20210316_02_T2,LC82240782020331LGN00,2020/11/26,T2,2,224,78,224,78,NADIR,0.0,2021/03/16,2021/03/16,2020-11-26 13:36:07.854266,2020-11-26 13:36:39.624265,LGN,DAY,100.0,100.0,-1,5,0.0,0.0,0.0,LPGS_15.4.0,64.19571927,84.89745342,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21.0,WGS84,WGS84,-25.99267,-54.924330000000005,-24.94444,-56.095659999999995,-24.91258,-53.78861,-27.0707,-56.07921999999999,-27.0357,-53.73035
https://landsatlook.usgs.gov/gen-browse?size=rrb&type=refl&product_id=LC08_L1TP_224078_20201110_20210316_02_T1,LC08_L2SP_224078_20201110_20210316_02_T1,LC82240782020315LGN00,LC08_L2SP_224078_20201110_20210316_02_T1,LC08_L1TP_224078_20201110_20210316_02_T1,LC82240782020315LGN00,2020/11/10,T1,2,224,78,224,78,NADIR,0.0,2021/03/16,2021/03/16,2020-11-10 13:36:04.34508,2020-11-10 13:36:36.11508,LGN,DAY,96.67,96.67,40,5,9.353,6.301,6.912000000000001,LPGS_15.4.0,63.69207362,76.28384956,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21.0,WGS84,WGS84,-25.9926,-54.91008000000001,-24.944370000000003,-56.083780000000004,-24.91232,-53.776740000000004,-27.07062,-56.067119999999996,-27.035420000000002,-53.71828000000001
NA,LC08_L2SP_224078_20200822_20200905_02_T1,LC82240782020235LGN00,LC08_L2SP_224078_20200822_20200905_02_T1,LC08_L1TP_224078_20200822_20200905_02_T1,LC82240782020235LGN00,2020/08/22,T1,2,224,78,224,78,NADIR,0.0,2020/09/05,2020/09/05,2020-08-22 13:35:52.325598,2020-08-22 13:36:24.095597,LGN,DAY,0.0,0.0,495,5,6.778,4.864,4.72,LPGS_15.3.1,41.52728663,43.2699502,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21.0,WGS84,WGS84,-25.99279,-54.92239,-24.94444,-56.095659999999995,-24.91251,-53.78564,-27.0707,-56.07921999999999,-27.035629999999998,-53.72733
https://landsatlook.usgs.gov/gen-browse?size=rrb&type=refl&product_id=LC08_L1TP_224078_20200228_20200822_02_T1,LC08_L2SP_224078_20200228_20200822_02_T1,LC82240782020059LGN00,LC08_L2SP_224078_20200228_20200822_02_T1,LC08_L1TP_224078_20200228_20200822_02_T1,LC82240782020059LGN00,2020/02/28,T1,2,224,78,224,78,NADIR,0.0,2020/08/22,2020/08/22,2020-02-28 13:35:45.771554,2020-02-28 13:36:17.541553,LGN,DAY,4.61,4.61,502,5,7.962999999999999,4.9830000000000005,6.212000000000001,LPGS_15.3.1c,52.99808376,67.13049364,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21.0,WGS84,WGS84,-25.99277,-54.9101,-24.944370000000003,-56.083780000000004,-24.91232,-53.776740000000004,-27.07062,-56.067119999999996,-27.035420000000002,-53.71828000000001
